offset,Chord,NormalForm,PCsinNormalForm,Measure Number,Measure Beat
119.0,<music21.chord.Chord B4 D5 B5 F#3>,"[0, 3, 7]","[11, 2, 6]",48,4
120.0,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,1
120.5,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,2
121.25,<music21.chord.Chord G4 B4 E-5 D4>,"[0, 4, 7, 8]","[7, 11, 2, 3]",49,3
121.5,<music21.chord.Chord E5 G4 B4 C#4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,4
122.16666666666700,<music21.chord.Chord G4 B4 C#4>,"[0, 4, 6]","[7, 11, 1]",49,5
122.25,<music21.chord.Chord G#5 G4 B4 C#4>,"[0, 1, 4, 6]","[7, 8, 11, 1]",49,5
122.5,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",50,1
123.0,<music21.chord.Chord B-4 C#5 F#3 E4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",50,2
123.75,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",50,3
124.0,<music21.chord.Chord F#4 B4 B3 D4>,"[0, 3, 7]","[11, 2, 6]",50,4
125.0,<music21.chord.Chord B3>,[0],[11],51,1
125.125,<music21.chord.Chord C#4>,[0],[1],51,1
125.33333333333300,<music21.chord.Chord B3>,[0],[11],51,1
125.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",51,2
126.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",51,3
126.25,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",51,3
126.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",51,4
127.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",51,5
127.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",51,5
127.5,<music21.chord.Chord G#3>,[0],[8],52,1
127.66666666666700,<music21.chord.Chord B-3>,[0],[10],52,1
127.875,<music21.chord.Chord G#3>,[0],[8],52,1
128.0,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",52,2
128.66666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",52,3
128.75,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",52,3
129.0,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",52,4
129.66666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",52,5
129.75,<music21.chord.Chord E-4 F#4 B4 E-5 B3>,"[0, 4, 7]","[11, 3, 6]",52,5
130.0,<music21.chord.Chord B-3>,[0],[10],53,1
130.125,<music21.chord.Chord B3>,[0],[11],53,1
130.33333333333300,<music21.chord.Chord B-3>,[0],[10],53,1
130.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",53,2
131.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",53,3
131.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",53,3
131.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",53,4
132.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",53,5
132.25,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",53,5
132.5,<music21.chord.Chord F#3>,[0],[6],54,1
133.0,<music21.chord.Chord D4 F#3>,"[0, 4]","[2, 6]",54,2
133.66666666666700,<music21.chord.Chord F#3>,[0],[6],54,3
133.75,<music21.chord.Chord E-4 F#3>,"[0, 3]","[3, 6]",54,3
133.875,<music21.chord.Chord E-4>,[0],[3],54,3
134.0,<music21.chord.Chord F#4>,[0],[6],54,4
