offset,Chord,NormalForm,PCsinNormalForm,file,Measure Number,Measure Count
124,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,21,3
124.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,21,3 1/4
125,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,21,3 1/2
125.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,21,3 3/4
126,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,22,1
126.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,22,1 1/4
127,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,22,1 1/2
127.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,22,1 3/4
130,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,22,3
130.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,22,3 1/4
131,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,22,3 1/2
131.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,22,3 3/4
132,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,23,1
132.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,23,1 1/4
133,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,23,1 1/2
133.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,23,1 3/4
134,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,23,2
134.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,23,2 1/4
140,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,24,2
140.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,24,2 1/4
141,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,24,2 1/2
141.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,24,2 3/4
144,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,25,1
