offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
165.5,<music21.chord.Chord E4 B-4 C5 G#3>,"[0, 2, 4, 8]","[8, 10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
165.625,<music21.chord.Chord G#3>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
166.0,<music21.chord.Chord E4 B-4 C5 A3>,"[0, 1, 3, 7]","[9, 10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
166.5,<music21.chord.Chord B-3>,[0],[10],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
167.0,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
167.5,<music21.chord.Chord E4 B-4 C5 C#4>,"[0, 2, 3, 6]","[10, 0, 1, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
167.625,<music21.chord.Chord C#4>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
168.0,<music21.chord.Chord E4 B-4 C5 E-4>,"[0, 2, 5, 6]","[10, 0, 3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
168.5,<music21.chord.Chord E-4>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
169.0,<music21.chord.Chord E4 B-4 C5 E-4>,"[0, 2, 5, 6]","[10, 0, 3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
169.5,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
169.625,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
170.0,<music21.chord.Chord E4 B-4 C5 C#4>,"[0, 2, 3, 6]","[10, 0, 1, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
171.0,<music21.chord.Chord F4 B-4 C5 E-4>,"[0, 2, 5, 7]","[10, 0, 3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
171.625,<music21.chord.Chord E-4>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
172.0,<music21.chord.Chord F4 B-4 C5 E-4>,"[0, 2, 5, 7]","[10, 0, 3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
172.5,<music21.chord.Chord F4 B-4 C5 C4 E-4>,"[0, 2, 5, 7]","[10, 0, 3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
172.625,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
173.0,<music21.chord.Chord F4 B-4 C5 C#4>,"[0, 2, 3, 7]","[10, 0, 1, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
174.0,<music21.chord.Chord F#4 B-4 C5 E-4>,"[0, 2, 5, 8]","[10, 0, 3, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
174.625,<music21.chord.Chord E-4>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
175.0,<music21.chord.Chord F#4 B-4 C5 E-4>,"[0, 2, 5, 8]","[10, 0, 3, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
175.5,<music21.chord.Chord F#4 B-4 C5 C4>,"[0, 4, 6]","[6, 10, 0]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
175.625,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
176.0,<music21.chord.Chord F#4 B-4 C5 C#4>,"[0, 4, 6, 7]","[6, 10, 0, 1]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
177.0,<music21.chord.Chord G4 B-4 C5 E-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
177.625,<music21.chord.Chord E-4>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
178.0,<music21.chord.Chord G4 B-4 C5 E-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
178.5,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
179.0,<music21.chord.Chord G4 B-4 C5 C#4>,"[0, 3, 5, 6]","[7, 10, 0, 1]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
180.0,<music21.chord.Chord F5 A4 E-4 F4>,"[0, 2, 6]","[3, 5, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
180.625,<music21.chord.Chord F5 E-4>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
180.75,<music21.chord.Chord F5>,[0],[5],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
181.0,<music21.chord.Chord G#4 E5 D4 E4>,"[0, 2, 6]","[2, 4, 8]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
181.625,<music21.chord.Chord G#4 E5>,"[0, 4]","[4, 8]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
182.0,<music21.chord.Chord E5 G#4 D4 E4>,"[0, 2, 6]","[2, 4, 8]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
182.5,<music21.chord.Chord E5 D4 E4>,"[0, 2]","[2, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
183.0,<music21.chord.Chord G4 E-5 C#4 E-4>,"[0, 2, 6]","[1, 3, 7]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
184.0,<music21.chord.Chord E-5 G4 C#4 E-4>,"[0, 2, 6]","[1, 3, 7]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
184.5,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
185.0,<music21.chord.Chord D5 F#4 C4 D4>,"[0, 2, 6]","[0, 2, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
186.0,<music21.chord.Chord F#4 D5 C4 D4>,"[0, 2, 6]","[0, 2, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
186.5,<music21.chord.Chord F#4 D5 D4>,"[0, 4]","[2, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
187.0,<music21.chord.Chord F4 C#5 B3 C#4>,"[0, 2, 6]","[11, 1, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
188.0,<music21.chord.Chord F4 C#5 B3 C#4>,"[0, 2, 6]","[11, 1, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
188.5,<music21.chord.Chord F4 C#5 C#4>,"[0, 4]","[1, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
189.0,<music21.chord.Chord E4 C5 B-3 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
189.625,<music21.chord.Chord B-3 C4>,"[0, 2]","[10, 0]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
190.0,<music21.chord.Chord E4 C5 B-3 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
190.5,<music21.chord.Chord E4 C5>,"[0, 4]","[0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
190.625,<music21.chord.Chord C5>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
191.0,<music21.chord.Chord E-4 B4 A3 B3>,"[0, 2, 6]","[9, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
192.0,<music21.chord.Chord B4 E-4 A3 B3>,"[0, 2, 6]","[9, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
