offset,Chord,NormalForm,PCsInNormalForm,file,Phrase Boundary,Measure Number,Measure Count
33,<music21.chord.Chord F#4 F#5>,[0],[6],Rhapsody 79 2 G minor.mid,,,
33.5,<music21.chord.Chord F#5>,[0],[6],Rhapsody 79 2 G minor.mid,,,
33.66666667,<music21.chord.Chord E-5 B4 F#5>,"[0, 4, 7]","[11, 3, 6]",Rhapsody 79 2 G minor.mid,,,
33.79166667,<music21.chord.Chord F#5 E-5>,"[0, 3]","[3, 6]",Rhapsody 79 2 G minor.mid,,,
33.875,<music21.chord.Chord E-5>,[0],[3],Rhapsody 79 2 G minor.mid,,,
36.625,<music21.chord.Chord B4 B3 B2 B1>,[0],[11],Rhapsody 79 2 G minor.mid,,,
36.75,<music21.chord.Chord B4 B3 B2>,[0],[11],Rhapsody 79 2 G minor.mid,,,
36.875,<music21.chord.Chord B4>,[0],[11],Rhapsody 79 2 G minor.mid,,,
37.75,<music21.chord.Chord E5 E4 G4 B4 E1 E2>,"[0, 3, 7]","[4, 7, 11]",Rhapsody 79 2 G minor.mid,,,
37.875,<music21.chord.Chord E5 E4 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Rhapsody 79 2 G minor.mid,,,
38,<music21.chord.Chord G4 B4>,"[0, 4]","[7, 11]",Rhapsody 79 2 G minor.mid,,,
39.125,<music21.chord.Chord D5 A4 F#1 D4 F#2>,"[0, 4, 7]","[2, 6, 9]",Rhapsody 79 2 G minor.mid,,,
40.25,<music21.chord.Chord D4 F#2>,"[0, 4]","[2, 6]",Rhapsody 79 2 G minor.mid,,,
40.66666667,<music21.chord.Chord A4 D4>,"[0, 5]","[9, 2]",Rhapsody 79 2 G minor.mid,,,
41,<music21.chord.Chord B4 G4 G1 D4 G2>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
41.125,<music21.chord.Chord B4>,[0],[11],Rhapsody 79 2 G minor.mid,,,
41.33333333,<music21.chord.Chord B1 B2>,[0],[11],Rhapsody 79 2 G minor.mid,,,
41.625,<music21.chord.Chord G4 D4>,"[0, 5]","[2, 7]",Rhapsody 79 2 G minor.mid,,,
42,<music21.chord.Chord A4 D4 D3 D2 F#4>,"[0, 4, 7]","[2, 6, 9]",Rhapsody 79 2 G minor.mid,,,
42.25,<music21.chord.Chord F#3 F#2>,[0],[6],Rhapsody 79 2 G minor.mid,,,
42.625,<music21.chord.Chord D4>,[0],[2],Rhapsody 79 2 G minor.mid,,,
42.875,<music21.chord.Chord G4 B4 D4 G3 G2>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
43.25,<music21.chord.Chord B3 B2>,[0],[11],Rhapsody 79 2 G minor.mid,,,
43.5,<music21.chord.Chord G4 D4>,"[0, 5]","[2, 7]",Rhapsody 79 2 G minor.mid,,,
43.625,<music21.chord.Chord G4>,[0],[7],Rhapsody 79 2 G minor.mid,,,
43.875,<music21.chord.Chord D4 D3 A4 F#4>,"[0, 4, 7]","[2, 6, 9]",Rhapsody 79 2 G minor.mid,,,
44,<music21.chord.Chord A4 F#4>,"[0, 3]","[6, 9]",Rhapsody 79 2 G minor.mid,,,
44.125,<music21.chord.Chord D2 D3 A4>,"[0, 5]","[9, 2]",Rhapsody 79 2 G minor.mid,,,
44.375,<music21.chord.Chord D4>,[0],[2],Rhapsody 79 2 G minor.mid,,,
44.75,<music21.chord.Chord G4 G3 D4 G2 B4>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
44.875,<music21.chord.Chord B4>,[0],[11],Rhapsody 79 2 G minor.mid,,,
45.125,<music21.chord.Chord G2 G1>,[0],[7],Rhapsody 79 2 G minor.mid,,,
45.375,<music21.chord.Chord G4>,[0],[7],Rhapsody 79 2 G minor.mid,,,
45.75,<music21.chord.Chord G4 G5 E-5 C5 C1 C2>,"[0, 3, 7]","[0, 3, 7]",Rhapsody 79 2 G minor.mid,,,
45.875,<music21.chord.Chord G4 G5 E-5 C5 C2>,"[0, 3, 7]","[0, 3, 7]",Rhapsody 79 2 G minor.mid,,,
46,<music21.chord.Chord E-5 C5>,"[0, 3]","[0, 3]",Rhapsody 79 2 G minor.mid,,,
47.125,<music21.chord.Chord F#5 D5 A4 D1 D2 F#4>,"[0, 4, 7]","[2, 6, 9]",Rhapsody 79 2 G minor.mid,,,
47.25,<music21.chord.Chord C5 F#5 D5 A4 D1 D2 F#4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Rhapsody 79 2 G minor.mid,,,
