offset,Chord,Phrase Boundary,Song Beat Number,Measure Number,Measure Beat Number,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
23,<music21.chord.Chord C5 G5 F4>,,24,8,3,"[0, 2, 7]","[5, 7, 0]","[5, 7, 0]",79,65,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[5, 7, 0]_5",0.7989156821932820
23.5,<music21.chord.Chord C5 G5 F4>,,24,8,3,"[0, 2, 7]","[5, 7, 0]","[5, 7, 0]",79,65,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[5, 7, 0]_5",0.7989156821932820
23.75,<music21.chord.Chord C5 G5 E-4>,,24,8,3,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7989156821932820
24,<music21.chord.Chord C5 G5 G4>,,25,9,1,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7989156821932820
24.5,<music21.chord.Chord C5 G5 G4>,,25,9,1,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7989156821932820
25,<music21.chord.Chord C5 G5 G4>,,26,9,2,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7989156821932820
25.5,<music21.chord.Chord C5 G5 E-4>,,26,9,2,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7989156821932820
26,<music21.chord.Chord C5 G5 G4>,,27,9,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
26.5,<music21.chord.Chord C5 G5 G4>,,27,9,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
26.75,<music21.chord.Chord C5 G5 E-4>,,27,9,3,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7942672136734980
27,<music21.chord.Chord D4>,,28,10,1,[0],[2],[2],62,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[2]_2,0.7942672136734980
27.5,<music21.chord.Chord B-4 B-5 D4>,,28,10,1,"[0, 4]","[10, 2]","[10, 2]",82,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 2]_2",0.7942672136734980
