measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
30,1 1/3,88.0,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
30,2,89.0,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
30,2 2/3,90.0,<music21.chord.Chord E3 G#3 B3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,1,90.5,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,1 2/3,91.5,<music21.chord.Chord E3 A#3 C#4 E4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,2,92.0,<music21.chord.Chord E3 G#3 B3 A#4>,"[0, 4, 6, 7]","[4, 8, 10, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,2 1/3,92.5,<music21.chord.Chord E3 G#3 B3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
32,1,93.5,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
32,2,95.0,<music21.chord.Chord F#3 F#4>,[0],[6],Sculthorpe_Sea_Chant.mxl,Sculthorpe
32,2 2/3,96.0,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
