offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
71.5,<music21.chord.Chord G#4 C#4 E4 G#3 E-3>,"[0, 2, 3, 7]","[1, 3, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
71.875,<music21.chord.Chord G#4 E-3 G#3>,"[0, 5]","[3, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
72.0,<music21.chord.Chord B4 G3 E-3>,"[0, 4, 8]","[3, 7, 11]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
72.5,<music21.chord.Chord C#4 E-4 B4 E-3 G3>,"[0, 2, 4, 8]","[11, 1, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
73.0,<music21.chord.Chord C#4 E-4 B4 E-3 G3>,"[0, 2, 4, 8]","[11, 1, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
73.5,<music21.chord.Chord B-4 E-2>,"[0, 5]","[10, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
74.0,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
74.5,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
75.0,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
75.5,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
76.0,<music21.chord.Chord A4>,[0],[9],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
76.5,<music21.chord.Chord B-4>,[0],[10],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
77.0,<music21.chord.Chord E-5>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
77.75,<music21.chord.Chord C#5>,[0],[1],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
78.0,<music21.chord.Chord C#5 F#2>,"[0, 5]","[1, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
78.5,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
